pairID,premise,edited_premise,hypothesis,gold_label,target_label,label
3473635435.jpg#0r1n,A young girl in a helmet walks barefoot across a mossy tree trunk that is lying over water.,A young girl in a helmet walks falls from a mossy tree trunk and scrapes her knee.,A girl might fall off a tree.,neutral,contradiction,1
527255763.jpg#3r1n,A young girl poses with a trophy in the park.,A young girl poses with a trophy in the park after winning a racing competition.,A girl poses with her spelling bee trophy.,neutral,contradiction,1
3500115252.jpg#3r1e,A dog plays with a stuffed animal.,A dog angrily growls at his owner.,The dog is enjoying himself.,neutral,contradiction,1
4958466857.jpg#1r1n,"Two street people and a dog sitting on the ground and one is holding an ""out of luck"" sign.",A large Husky with snow white fur barks deeply.,the dog is a chihuahua,neutral,contradiction,1
1100708949.jpg#1r1n,Two women are hugging on a path through a grassy area with a cow visible past them.,Two women are hugging on a path in the middle of a large metropolitan city.,the women have rounded up the last cow for the fall,neutral,contradiction,1
2899276965.jpg#1r1n,A man wearing black pants rides along a concrete ledge on rollerblades.,A professional rollerblader holds on to a railing while riding on a flat sidewalk.,The man may lose his balance.,neutral,contradiction,1
7523563426.jpg#0r1n,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","Bruce Springsteen, with one arm outstretched, gestures to his wife.",Bruce Springsteen is gay,neutral,contradiction,1
2813033949.jpg#3r1n,A black and white dog jumps for a tennis ball.,A black and white dog sleeps on a living room rug.,A border collie is jumping to catching a toy.,neutral,contradiction,1
3621649810.jpg#2r1n,A woman raises her arms as she looks out over the water at the setting sun.,"A woman raises her arms as she sits in a cold, dark, study room in her university.",a woman enjoying a florida beacj,neutral,contradiction,1
19796500.jpg#0r1n,A man in a navy blue shirt is tossing a boy with a large smile on his face high into the air.,A man in a navy blue shirt is tossing a girl with a large smile on his face high into the air.,A man tossing his son into the air.,neutral,contradiction,1
1354318519.jpg#1r1n,a boy in a red hooded top is smiling whilst looking away from his reflection.,a boy in a red hooded top is smiling whilst looking at his reflection.,The boy doesn't want to see his reflection.,neutral,contradiction,1
3041689520.jpg#3r1n,Naked children play on the muddy riverbank.,Naked children play on a sandy beach.,THE NUDE KIDS PLAYED ON THE RIVERBANK  IN THE MUD JUST TO HAVE A MUD BATH,neutral,contradiction,1
7012109893.jpg#0r1n,A man dressed in blue places mop inside a green bucket as he stands on a roof that overlooks a city.,"A man dressed in blue places mop inside a green bucket as he smiles, sings, and whistles.",A man is not happy about having to clean the roof.,neutral,contradiction,1
2434710077.jpg#2r1n,Three young girls and a baby are sitting in the grass on a blue blanket with baby toys scattered on it.,Three young girls and a baby are sitting in the grass facing away from each other and crying.,Four sisters play with each other.,neutral,contradiction,1
3136688093.jpg#2r1n,Fireworks light up the night as a man stands on stage.,Audiences watch a man gesture towards the ceiling in an opera house.,The man is throwing a concert outside,neutral,contradiction,1
4685056764.jpg#0r1n,Three army soldiers are holding guns and peering around a corner of a building.,Three army soldiers are sitting around a table laughing and drinking beer.,Soldiers are being told to guard a building.,neutral,contradiction,1
525338588.jpg#0r1n,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",People stand in a line outside a building to vote in a federal election.,The people are having a chat before going into the work building.,neutral,contradiction,1
542850900.jpg#1r1n,A boy in a red shirt is squatting in front of a circle of stones with a pot in the middle.,A boy in a red shirt is squatting in front of his kitchen stove with a pot waiting for pasta to boil.,A boy prepares a camp fire spot to make his dinner.,neutral,contradiction,1
5217397101.jpg#0r1n,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera of her daughter.,A woman is trying to take pictures of the world's largest tree,neutral,contradiction,1
2656039837.jpg#0r1n,A girl is about to hit a tennis ball coming from above her with a racket,A girl is about to hit a volleyball coming from above her.,A girl is playing tennis with three other people.,neutral,contradiction,1
