premise,hypothesis,edited_hypothesis,update,update_type,label,id,dataset
A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.,A woman is enjoying a beer.,A woman is enjoying some water.,The drink comes in a big glass mug and has some foam on the top of the amber liquid.,strengthener,1,snli.1881,snli
A middle-aged man in a green jacket is talking to another middle-aged man in a light blue tee-shirt.,Two old friends catching up with each other.,Two men walk into a restaurant in the evening.,One man buys the other man lunch,strengthener,1,snli.643,snli
three dogs run through the grass.,"Three dogs run through the dead, brown grass.",Three dogs run through blooming flower beds.,the drought is bad this year,strengthener,1,snli.281,snli
There is a green trash truck in road with a person sweeping sidewalk.,The garbage man sweeps up where the can spilled.,A person walks out of an office carrying a briefcase and talking on the phone.,The person gets in the green trash truck after sweeping.,strengthener,1,snli.1179,snli
A woman wearing a black t-shirt and green capri pants walks in front of a giant clock.,It is noon.,A woman walks into a dentist's office.,There are people at a table eating in the background.,strengthener,1,snli.1767,snli
A surfer showing off his talent in public using a man-made water machine.,A surfer is in performing at a charity event.,A surfer is practicing on his private beach.,The surfer has a crowd of onlookers.,strengthener,1,snli.175,snli
3 people are shopping in a market.,The three people are shopping for a party they are going to throw.,The three people are mechanics.,The people are carrying auto repair parts.,weakener,0,snli.1442,snli
A cheerful boy rides a makeshift sled down a snowy hill.,A boy is enjoying himself while thinking about sliding down a snow hill with his friends,A boy is sliding down fresh snow in an empty park,The boy is alone on the hill.,weakener,0,snli.246,snli
A snowboarder is grinding down a long concrete rail.,A snowboarder is practicing a new trick.,A snowboarder practices standing upright on their snowboard with the rest of their elementary school class.,The snowboarder is a child.,weakener,0,snli.1182,snli
A surfer showing off his talent in public using a man-made water machine.,A surfer is in performing at a charity event.,A surfer is practicing on his private beach.,The surfer has no one watching them.,weakener,0,snli.174,snli
Construction workers are standing upon on a wooden bridge.,The men are nervous,The men are afraid of working on a wooden bridge 500 feet above the water.,The men shake as they look warily down at the bridge.,strengthener,1,snli.1813,snli
A surfer is performing a jumping stunt in the ocean.,A daring man in the surf.,An actor stands behind the camera while a daring man is in the surf.,The man is a stunt double.,weakener,0,snli.428,snli
A group of people sitting around a rectangular table having either pieces of paper or laptops in front of them.,they have a work meeting,A group of people sit on the beach at a resort.,The people have business clothes on.,strengthener,1,snli.437,snli
A man in a white t-shirt and jeans is holding a mallet and chisel next to his abstract sculpture which stands on several bricks.,A man is trying to finish his sculpture for a church,A man is trying to finish his sculpture of a model posing in front of him.,The sculpture is in the shape of a cross.,strengthener,1,snli.1139,snli
A man is working on a Earthen structure with a pickaxe.,A man is repairing a dam.,A man works directly under a stalagmite.,The man is underground.,weakener,0,snli.210,snli
A child making a sand castle on the beach.,A child uses their imagination.,A child does not know how to build anything beyond a sand castle.,The child has also made a princess out of shells and seaweed.,strengthener,1,snli.1169,snli
An older gentleman wearing a hat is walking on crutches next to a busy street.,A man on crutches is trying to cross the street.,A man on crutches walks in circles in an enclosed park.,The man is watching both ways of the street.,strengthener,1,snli.537,snli
The man is sweeping with a red broom.,The man is sweeping dirt,A man finished trimming a woman's hair.,The barber is sweeping the hair away from his chair.,weakener,0,snli.1630,snli
Colorful rings spraying water at little girl wearing swimsuit.,The child is at a waterpark.,The child is in her backyard.,Her mother is visible in the kitchen window.,weakener,0,snli.1644,snli
A dog is running parallel with the ocean waves.,A dog is running towards its owner.,A dog is right beside its owner.,A man whistles loudly.,strengthener,1,snli.717,snli
Colorful rings spraying water at little girl wearing swimsuit.,The child is at a waterpark.,A woman calls from the kitchen window to her child playing in water.,The girl is in her backyard playing in a sprinkler.,weakener,0,snli.1650,snli
Two men in orange uniforms stand before a train and do some work.,Tall humans working.,A supervisor from the county watches a group of men pick up garbage by train tracks.,The short men are on a chain gang performing manual labor as their sentence.,weakener,0,snli.260,snli
Two little white dogs running.,A few dogs are running to their owner.,A few dogs are running away from their owner.,A man is holding a bag of treats nearby.,strengthener,1,snli.461,snli
A man alone crosscountry skis in the wilderness while wearing a huge backpack.,A man skis in the wilderness while it's snowing,A man wades through melted snow while trying to ski.,The temperature is almost 50 degrees Hahrenheiht,weakener,0,snli.1860,snli
a man giving two thumbs up to a crowd.,He has just won the competition,A man in track shoes gets ready for a 100 meter race.,The man quickly joined the other runners at the starting line.,weakener,0,snli.66,snli
"A group of men are sitting and standing a courtyard, some of them are reading books and some are talking.",A group of males are outside reading and singing.,A group of men sit in a library reading silently.,Everyone joins in for the chorus.,strengthener,1,snli.1499,snli
a young couple both wearing white shirts and blue jeans standing in a light misty rain,A matching couple cools down in the rain.,A matching couple sits around a fire in December.,The Summer Rain felt cool after a long hot day.,strengthener,1,snli.517,snli
A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy dressed for summer in a tight green shirt and kahki shorts,A boy wearing a loose shirt at the zoo feels a gust of wind.,The shirt is flowing in the wind.,weakener,0,snli.604,snli
a soccer player wearing a red uniform walks off the field after a game near a parking lot.,A soccer player is walking to his car.,A driver in a parking lot waves a soccer player over after a game.,The visiting soccer player is headed toward the school bus.,weakener,0,snli.1694,snli
A middle-aged man in a green jacket is talking to another middle-aged man in a light blue tee-shirt.,Two old friends catching up with each other.,Two men are in the middle of an argument.,The two men seem to be laughing with each other.,strengthener,1,snli.647,snli
A young boy in green shorts balances on a pipe above a river.,A clever person balancing.,A person walks on a tight rope for the first time.,An audience watches in awe at how young the up and coming tight rope walker is.,strengthener,1,snli.21,snli
Two individuals use a photo kiosk,The people are together,A man enters a photo kiosk already at maximum capacity.,The man went into the wrong kiosk,weakener,0,snli.742,snli
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,A young couple are at an outdoor street event celebrating local produce.,The vendors have homemade jewelry on display that is very eye catching.,strengthener,1,snli.1143,snli
A youth skateboards by a mural of a griffin wielding a flaming sword.,A youth skateboards by a mural that has been vandalised.,A youth skateboards by a freshly painted mural on a new building.,The griffin is painted over something,strengthener,1,snli.33,snli
A young man in an orange hat walks his bicycle down a street.,A man broke his new bike.,A man found a bicycle at a yard sale.,The bicycle is rust,weakener,0,snli.1226,snli
"An oriental woman in glasses, shooting archery.",The woman is American.,The woman carries a passport from Japan.,The woman is a Japanese citizen.,weakener,0,snli.924,snli
"A team of men, three in red shirts and two others in baseball jerseys, re-surface a baseball diamond with specialized tools.",A grounds crew maintain a park.,A group of men prepare a baseball field for a large storm.,The men take a large tarp off of the infield.,strengthener,1,snli.1245,snli
A young boy in red leaping into sand at a playground.,A young boy jumps onto his friends sand castle at a playground.,A young boy jumps into a sandbox beside his friend building a sand castle.,"When the boy lands, a sand castle disintegrates underneath him.",strengthener,1,snli.799,snli
a man giving two thumbs up to a crowd.,He has just won the competition,A man drops out of a competition.,The man has a trophy by his feet.,strengthener,1,snli.65,snli
A cyclist dressed in black and white is pointing.,A cyclist dressed in black and white points towards the sky.,A cyclist dressed in black and white points towards the clear sky.,He feels a few raindrops hit his cheek.,strengthener,1,snli.187,snli
Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,A man is going to surprise his wife with dinner.,A man makes dinner while his wife watches.,He checks the clock to see how much time he has before his wife comes home.,strengthener,1,snli.1775,snli
The girls walk down the street.,Girls were going to the park.,Girls carry textbooks in their hands.,The girls are wearing school uniforms.,weakener,0,snli.1054,snli
