pairID,premise,edited_premise,hypothesis,gold_label,target_label,label,label_annotated,
3411022255.jpg#1r1c,Four people and a baby are crossing the street at a crosswalk.,A family rides the bus to see baseball game at a local park.,People and a baby riding the bus.,contradiction,neutral,2,neutral,
4958466857.jpg#1r1n,"Two street people and a dog sitting on the ground and one is holding an ""out of luck"" sign.",A large Husky with snow white fur barks deeply.,the dog is a chihuahua,neutral,contradiction,1,contradiction,
3053000489.jpg#0r1c,Two women and a little girl are resting with food and drink near a log in a grassy field under flowering trees.,Two men and a little boy are chasing each other through the woods.,3 men are running,contradiction,entailment,2,contradiction,
4002498838.jpg#4r1c,The man in colorful shorts is barefoot.,A person gets dressed for an event.,The man wears black pants and dress shoes.,contradiction,neutral,2,neutral,
2641049916.jpg#2r1c,A kid with his face painted is at the top of a concrete structure with asterisks carved inside.,A kid lays down with a smile on his face.,The kid is laying in a pool.,contradiction,neutral,2,neutral,
5248756214.jpg#0r1c,"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",A man buys something at a gas station.,A man is buying a lottery ticket.,contradiction,neutral,2,neutral,
4569391692.jpg#1r1e,A man falling off a bull as the animal jumps into the air.,A man falls off an animal.,An animal jumps as a male falls.,entailment,neutral,0,neutral,
3473635435.jpg#0r1n,A young girl in a helmet walks barefoot across a mossy tree trunk that is lying over water.,A young girl in a helmet walks falls from a mossy tree trunk and scrapes her knee.,A girl might fall off a tree.,neutral,contradiction,1,entailment,
297725738.jpg#1r1c,A man in a purple mascot costume is standing outside of a store while a man and a woman each wearing flamboyant clothing stand off to the side.,A man in a dark green mascot costume is standing outside of a store while a man and a woman each wearing flamboyant clothing stand off to the side.,The costume is green.,contradiction,entailment,2,entailment,is this a case where an originally neutral example made it difficult to make the premise more specific without being redundant? e.g. null -> green; dark green -> green
6769024927.jpg#2r1n,A snowboarder with a maroon coat sails through the air.,A snowboarder with a maroon coat sails through the air as he practices a new trick for the first time.,The snowboarder has never tried this jump before.,neutral,entailment,1,entailment,
3499641634.jpg#0r1e,"A lady teacher warning her students about their behavior in a museum setting, and inviting them to be quite.","A lady teacher warning her students about their behavior in an aquarium setting, and inviting them to be quite.",Students are inside of a museum,entailment,contradiction,0,contradiction,
927420680.jpg#4r1c,The man walks among the large trees.,A man walks on a sidewalk.,The mas is walking next to dogs.,contradiction,neutral,2,neutral,
3715790408.jpg#1r1e,A group of smiling people are posing outdoors for a picture.,A group of smiling people are outdoors.,A crowd of people are taking a picture outside.,entailment,neutral,0,neutral,
2936693681.jpg#1r1c,A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,A small girl with short brown hair is building a sandcastle with her father on a public beach in Florida.,The girl is on a beach.,contradiction,entailment,2,entailment,
4813951931.jpg#3r1e,A young man in an orange hat walks his bicycle down a street.,A young man in an orange hat rides his bicycle down a street.,A man in an orange hat walks his bike down a street.,entailment,contradiction,0,contradiction,
4717058364.jpg#4r1c,Topless girl riding a red bike.,A girl dressed in a yellow shirt and blue pants is riding a red bike down a street.,The woman is wearing a shirt.,contradiction,entailment,2,contradiction,presupposition failure?
1100708949.jpg#1r1n,Two women are hugging on a path through a grassy area with a cow visible past them.,Two women are hugging on a path in the middle of a large metropolitan city.,the women have rounded up the last cow for the fall,neutral,contradiction,1,contradiction,maybe technically neutral but i feel like this one is going for contradiction
2899276965.jpg#1r1n,A man wearing black pants rides along a concrete ledge on rollerblades.,A professional rollerblader holds on to a railing while riding on a flat sidewalk.,The man may lose his balance.,neutral,contradiction,1,neutral,
484443289.jpg#1r1c,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,A man wearing a light blue ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,The man is wearing a blue cap.,contradiction,entailment,2,entailment,
3609448700.jpg#0r1e,The number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents.,The number eight rollerskater is taking the lead in a competition.,A rollerskater pulling away from the pack.,entailment,neutral,0,neutral,or entailment? lol
4749092674.jpg#2r1c,A man with a tan jacket with a full grocery bag is crossing the street.,A man carries a full grocery bag and crosses the street.,The man is wearing nothing but a t shirt.,contradiction,neutral,2,neutral,
156021287.jpg#2r1e,A young boy is jumping down an inflatable water ride.,A young boy is jumping on his mattress in his bedroom.,A boy is outside,entailment,contradiction,0,contradiction,
3621649810.jpg#2r1n,A woman raises her arms as she looks out over the water at the setting sun.,"A woman raises her arms as she sits in a cold, dark, study room in her university.",a woman enjoying a florida beacj,neutral,contradiction,1,contradiction,
4986907081.jpg#0r1c,"A person with dark hair in a white shirt is sitting in a chair in water with a ""swim at your own risk"" sign on the wall.",A professional skydiver readies his parachute as he jumps from a small aircraft.,a man jumps out of a plane,contradiction,entailment,2,entailment,
6147735412.jpg#1r1n,"A woman and two men, that are dressed professionally, are having a discussion.","A woman and two men, that are dressed professionally, are having a discussion about the freedom afforded to slaves by Abraham Lincoln.",A woman and two men are having a discussion about freedom.,neutral,entailment,1,entailment,"pragmatically i actually feel like this is a contradiction, super interesting example..."
2219959872.jpg#3r1e,A man and two kids standing in front of an ancient building.,A man stands in his kitchen watching water boil.,A man is standing with two kids.,entailment,neutral,0,neutral,
3173690688.jpg#4r1n,Man taking photos of seagulls over the ocean.,Man taking photos of seagulls as he looks at a clear sky with the sun shining.,It is sunny.,neutral,entailment,1,entailment,
3752991046.jpg#0r1e,A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl with curly hair and wearing a patriotic shirt is looking at a ladybug sitting on her left index finger.,A girl and a butterfly,entailment,contradiction,0,contradiction,
5732157460.jpg#0r1e,A group of children looking at the contents of a slide through a microscope displayed on a computer screen.,A group of children look gather around to look at something together.,The children are looking through a microscope.,entailment,neutral,0,neutral,
1128230658.jpg#0r1n,A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.,A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm at his father's farm.,The young boy is on a farm.,neutral,entailment,1,entailment,
4831412806.jpg#3r1n,Several people wearing green shirts walk on the beach together.,"Several people wearing green shirts walk on the beach together combing the sand for sea shells, and putting them in their pockets.",Some people are walking on the beach collecting sea shells.,neutral,entailment,1,entailment,
3287383259.jpg#3r1c,A woman with red-hair staples some papers,A woman with red-hair searches through a stack of papers to find her exam.,There are women shuffling papers.,contradiction,entailment,2,neutral,
2314547049.jpg#0r1c,A woman smiles while she opens a red package in front of a table with yarn and glass of liquid on it.,A woman screams while she opens a red package in front of a table as a spider emerges from inside the package.,The woman is yelling at the package.,contradiction,entailment,2,entailment,
2424111022.jpg#4r1n,A boy in the woods.,A girl in blue pants and a green shirt walks in the woods.,There is a small boy in the woods.,entailment,contradiction,0,neutral,several examples where i'm not sure if we assume the non-existence of other unmentioned people in a situation (e.g. contradiction vs neutral)
527255763.jpg#3r1n,A young girl poses with a trophy in the park.,A young girl poses with a trophy in the park after winning a racing competition.,A girl poses with her spelling bee trophy.,neutral,contradiction,1,contradiction,
4315212557.jpg#0r1e,"A boy and a girl sit at a black table, while a second boy sits near them on a windowsill.","A boy and a girl sit together, while a second boy sits near them.",There are boys and girls sitting at a table,entailment,neutral,0,neutral,
2813033949.jpg#3r1n,A black and white dog jumps for a tennis ball.,A black and white dog sleeps on a living room rug.,A border collie is jumping to catching a toy.,neutral,contradiction,1,contradiction,
2923891109.jpg#4r1c,the white dog is carrying a ball in its mouth.,A dog chews its food.,A white dog is chewing on his food.,contradiction,neutral,2,neutral,
3884461163.jpg#3r1n,A black woman is sitting on the beach examining an octopus.,A black woman is sitting on the beach attaching more bait to her fishing rod.,The woman has been fishing in the ocean,neutral,entailment,1,neutral,"if we have disagreement on examples like this, maybe check if model errors are correlated with our disagreements?"
2581058635.jpg#3r1e,A man squatting in a park looking at something in the distance.,A man sits in the grass at a park.,A man sees something while in a park.,entailment,neutral,0,neutral,
4913055468.jpg#2r1c,A man and his son riding bikes down the sidewalk.,A man and his son wave at parade floats from the sidewalk.,the man and his son were watching a parade,contradiction,entailment,2,entailment,
4294610133.jpg#0r1e,"two men are seen talking, one man wears pink and another is sporting a t-shirt for summer school 60th anniversary.","Two men are sitting across each other in silence, one man wears pink and another is sporting a t-shirt for summer school 60th anniversary.",The two men are talking.,entailment,contradiction,0,contradiction,
2232518012.jpg#1r1c,The racing greyhounds have broken from the starting gate.,The racing greyhounds rest their heads on a dog bed and close their eyes at midnight.,The greyhounds are lying down to sleep for the night.,contradiction,entailment,2,entailment,"it's an interesting challenge how some hyps are difficult to provide iron-clad entailing prems for (in X->entailment case). technically the prem here is more circumstantial evidence, but how else would you entail the hyp without just repeating it."
4145780777.jpg#4r1e,Men at a party hanging out on the front porch.,A woman holds a party on her front porch to celebrate her promotion at work.,There are men at the party.,entailment,neutral,0,neutral,
6899247616.jpg#4r1c,A woman finishing a marathon race.,A woman takes part in a track and field marathon.,The woman is not going to finish the race.,contradiction,neutral,2,neutral,
2847633529.jpg#0r1c,A couple has been photographed through a gap in the fence while they are sitting near the water.,A couple stands together and kiss one another on their wedding anniversary.,The couple is standing next to a cake.,contradiction,neutral,2,neutral,
4013752334.jpg#0r1e,"Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is smiling.","Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is frowning.",One smiling man and one man with a drill hold a red and yellow Chinese lantern.,entailment,contradiction,0,contradiction,
1865794069.jpg#2r1n,A boy in an all blue uniform kicks a blue soccer ball in a grassy area.,A boy in an all blue uniform kicks a blue soccer ball to other kids on his soccer team in a grassy area.,A boy is playing with the other children.,neutral,entailment,1,entailment,
4546706008.jpg#2r1e,Man and a woman at the side of a table covered in books.,Man and a woman work together at a construction site carrying raw metals.,People near a lot of reading materials.,entailment,contradiction,0,contradiction,or neutral?
2536792809.jpg#1r1e,railroad workers working on the tracks at nighttime,Railroad workers rest in their cabins through the night before going out to work on the tracks again the next morning.,there are people outside at night,entailment,contradiction,0,contradiction,
3275201035.jpg#2r1n,A girl in a black sweater and jeans pours water into an empty soda bottle.,A girl in a black sweater and jeans pours water into the Coca Cola bottle she just finished drinking soda from.,A girl pours water into an empty coca cola bottle,neutral,entailment,1,entailment,
